,brand,resolution,inches,panel,Tv_os,original_price,price,discount,Rating_count
419,Samsung,Ultra HD,50,QLED,Tizen,86318,56890,34,13
420,TOSHIBA,Ultra HD,43,QLED,Tizen,51400,34990,31,7202
421,SONY,Ultra HD,55,LED,Google,"1,49,990",92199,38,56
422,Samsung,Ultra HD,32,LED,Google,19990,15790,21,4
423,LG,Ultra HD,24,LED,Tizen,10499,5499,47,50
424,Haier,Ultra HD,50,LED,WebOS,70800,41300,41,15
425,KODAK,HD Ready,75,LED,,"4,29,990","1,29,990",69,10230
426,Samsung,HD Ready,49,LED,,"1,43,700","1,02,099",28,5
427,TCL,Ultra HD,32,QLED,Tizen,25999,14599,43,14
428,Samsung,Ultra HD,32,QLED,Google,20000,11999,40,6
429,BPL,Ultra HD,50,LED,Tizen,44999,32250,28,5
430,MOTOROLA,Ultra HD,65,QLED,WebOS,"3,64,900",93203,74,995
431,XIAOMI,HD Ready,55,LED,,"1,09,990",37999,65,83331
432,SONY,Ultra HD,50,LED,,59999,26699,55,38
433,TCL,Ultra HD,43,LED,,79990,55515,30,1104
434,Acer,Ultra HD,65,LED,,"2,09,990","1,09,990",47,2524
435,Samsung,Ultra HD,55,QLED,Google,46999,26699,43,35
436,Samsung,Ultra HD,65,QLED,Tizen,99990,40765,59,35
437,Blaupunkt,Ultra HD,43,QLED,Tizen,47990,39462,17,7882
438,acerpure,Ultra HD,55,LED,Google,84990,48900,42,3939
439,LG,Ultra HD,65,LED,Google,79999,45999,42,4695
440,LG,Ultra HD,55,LED,WebOS,"2,49,900","1,64,990",33,3171
441,Coocaa,Ultra HD,55,LED,WebOS,45999,29999,34,14
442,SONY,Ultra HD,85,LED,Google,"5,99,990","2,29,990",61,10
443,Blaupunkt,Ultra HD,32,OLED,Google,24999,10999,56,13640
444,TCL,Ultra HD,55,QLED,Google,94990,39548,58,23
445,Acer,Ultra HD,43,LED,Google,60700,39789,34,162
446,Aiwa,HD Ready,32,QLED,Google,19999,15999,20,16
447,Samsung,Ultra HD,50,QLED,Google,58999,32499,44,5
448,XIAOMI,Ultra HD,32,QLED,Tizen,24990,13499,45,38555
449,Lumio,HD Ready,55,LED,,70900,47845,32,4
450,TOSHIBA,Ultra HD,75,QLED,Google,"2,39,990","1,42,990",40,9183
451,Samsung,HD Ready,32,LED,,82990,57990,30,13
452,LG,Ultra HD,43,LED,Tizen,41999,34950,16,23
453,Blaupunkt,Ultra HD,50,,WebOS,"2,29,900",64999,71,5550
454,SONY,HD Ready,65,LED,,57000,35280,38,352
455,XIAOMI,Ultra HD,55,LED,Google,22999,11999,47,83331
456,LG,Ultra HD,32,LED,,25490,16349,35,19
457,BPL,Ultra HD,32,LED,WebOS,"3,17,900","2,55,699",19,6
458,Acer,Ultra HD,55,LED,Google,70990,39990,43,12913
459,Lloyd,HD Ready,55,LED,Google,18592,16499,11,5
460,Samsung,HD Ready,32,LED,,41999,25499,39,6
461,VZY,Ultra HD,32,QLED,Tizen,"2,58,000",74999,70,5
462,Samsung,Ultra HD,50,QLED,Google,"2,24,900","1,44,512",35,90
463,Samsung,HD Ready,65,LED,Tizen,11499,6499,43,188
464,Blaupunkt,HD Ready,65,LED,Tizen,99990,64990,35,13640
465,Samsung,Ultra HD,24,QLED,Google,"1,64,999",69999,57,2
466,SONY,Ultra HD,65,QLED,Tizen,49990,22999,53,7
467,KODAK,Ultra HD,65,LED,,27000,13999,48,828
468,Samsung,HD Ready,43,QLED,,34990,21849,37,24665
469,Acer,4K,32,LED,Tizen,"1,49,999",64499,57,16
470,LG,Ultra HD,43,LED,Google,31990,24020,24,35739
471,BPL,Ultra HD,75,LED,WebOS,"1,19,999",59999,50,28
472,ONIDA,HD Ready,43,LED,,17990,11501,36,1159
473,Blaupunkt,Ultra HD,65,LED,Google,21990,8999,59,13640
474,Panasonic,Ultra HD,32,QLED,Google,22490,12979,42,5
475,Hisense,Full HD,32,LED,,84990,54000,36,295
476,INVANTER,Ultra HD,32,LED,,"1,29,999",64999,50,10
477,LIMEBERRY,HD Ready,43,LED,,40400,25000,38,3
478,Lloyd,HD Ready,75,LED,,24900,7299,70,30
479,LG,HD Ready,43,LED,,71990,43891,39,426
480,KODAK,Ultra HD,32,,WebOS,"2,34,900","1,79,626",23,33
481,Samsung,Ultra HD,55,QLED,Google,27000,19490,27,7
482,Samtonic,Full HD,55,LED,Tizen,30400,13403,55,100
483,LG,HD Ready,32,LED,,45990,18999,58,35739
484,Samsung,Ultra HD,40,LED,WebOS,25490,15279,40,5
485,BPL,Ultra HD,43,OLED,Tizen,23999,13799,42,28
486,Samtonic,HD Ready,32,LED,,51990,27990,46,100
487,TCL,Full HD,50,LED,,17999,14999,16,17
488,Lloyd,Full HD,32,LED,,49999,31999,36,4
489,Blaupunkt,HD Ready,55,LED,WebOS,64990,26799,58,16881
490,Sansui,HD Ready,50,LED,,18999,12993,31,2864
491,Infinix,Ultra HD,32,LED,Google,54900,40660,25,14831
492,Thomson,HD Ready,43,LED,,59990,41999,29,62
493,acerpure,Ultra HD,55,QLED,Google,"3,59,990","1,69,990",52,1609
494,STARSHINE,Ultra HD,65,QLED,Google,26990,12850,52,3
495,SONY,HD Ready,32,LED,Google,86100,61688,28,96
496,Sansui,Ultra HD,55,LED,Google,"2,79,990",99490,64,10
497,LG,Ultra HD,75,LED,Google,27990,22392,20,5
498,Haier,Ultra HD,32,OLED,WebOS,"1,14,900",79991,30,13
499,Samsung,HD Ready,50,LED,,"5,52,900","2,37,490",57,3
500,TCL,Ultra HD,85,QLED,Tizen,"1,64,900",91990,44,313
501,Micromax,Ultra HD,65,LED,Google,"5,43,800","1,89,999",65,3970
502,SONY,HD Ready,75,LED,,35999,17200,52,104
503,SONY,Ultra HD,43,LED,Google,79990,33099,58,104
504,SONY,Ultra HD,55,LED,Google,"2,29,990",89990,60,104
505,Samsung,Ultra HD,65,LED,Google,61490,31990,47,7
506,Compaq,Ultra HD,43,QLED,Tizen,28990,10490,63,4479
507,acerpure,Ultra HD,32,LED,,"1,06,990",36300,66,1609
508,TCL,Ultra HD,55,QLED,Google,63500,41200,35,14
509,Haier,Ultra HD,55,QLED,Google,36999,12399,66,7
510,Reliance,Ultra HD,43,QLED,Google,79990,33199,58,396
511,iFFALCON,HD Ready,55,LED,Google,67200,41950,37,5300
512,Samsung,Ultra HD,55,LED,,45000,33599,25,5
513,HUIDI,Ultra HD,43,LED,Tizen,54200,43299,20,3947
514,Coocaa,Full HD,50,LED,,61990,47990,22,718
515,Samsung,Ultra HD,50,QLED,Google,"2,29,000","1,44,990",36,7
516,Samsung,Ultra HD,65,LED,Tizen,36990,11790,68,7
517,Samsung,Ultra HD,40,LED,Tizen,"1,69,103","1,19,898",29,5
518,Samsung,Ultra HD,65,LED,Tizen,"1,39,999",73999,47,24665
519,SONY,4K,65,LED,Tizen,"3,09,990","1,99,999",35,4
520,Uniboom,Ultra HD,100,LED,,76900,48990,36,4510
521,LG,Full HD,55,LED,,46999,23517,49,6119
522,Hisense,Ultra HD,43,LED,WebOS,27990,11890,57,295
523,acerpure,Ultra HD,32,LED,,19999,13499,32,1203
524,LG,Ultra HD,40,QLED,Google,"1,66,990",96099,42,18302
525,Acer,Ultra HD,55,LED,WebOS,18999,9700,48,5573
526,Haier,Ultra HD,32,LED,Google,19990,6999,64,28
527,Blaupunkt,HD Ready,32,LED,,67999,24999,63,168
528,LG,Full HD,50,QLED,,26699,16999,36,18
529,iFFALCON,Ultra HD,40,LED,WebOS,42999,26750,37,29659
530,Acer,HD Ready,43,LED,,59990,58990,1,1763
531,Acer,HD Ready,55,LED,,89400,52990,40,2524
532,MOTOROLA,Ultra HD,55,QLED,Google,"1,49,900",73699,50,9498
533,XIAOMI,Full HD,65,LED,Google,21490,11990,44,83331
534,Weston,Ultra HD,32,LED,,95900,69803,27,22
535,Samsung,Ultra HD,50,LED,,"1,65,800","1,00,899",39,7
536,TCL,Ultra HD,49,LED,Tizen,"1,89,990",87568,53,4
537,Sansui,Ultra HD,48,LED,,25990,13790,46,2864
538,Samsung,HD Ready,32,LED,Google,89990,51990,42,1884
539,Samsung,Ultra HD,55,QLED,Tizen,"2,69,990","1,26,889",53,37
540,LG,Ultra HD,75,LED,Tizen,"1,18,900",72490,39,7
541,BPL,Ultra HD,55,OLED,WebOS,64999,35999,44,4
542,LG,HD Ready,55,LED,Google,53990,26399,51,3171
543,SONY,Ultra HD,50,LED,WebOS,"1,29,990",94147,27,104
544,SONY,Ultra HD,55,LED,Google,"1,09,990",49999,54,104
545,Coocaa,Ultra HD,65,LED,Google,79990,38700,51,14
546,Coocaa,Ultra HD,55,LED,Google,54999,38067,30,469
547,SONY,Ultra HD,55,LED,,59999,37999,36,9
548,Hisense,Ultra HD,55,LED,,29523,28523,3,1369
549,Hisense,Ultra HD,40,QLED,,69999,33999,51,1369
550,Mi,Ultra HD,55,QLED,,"1,28,990",49990,61,10440
551,Infinix,Ultra HD,65,LED,,"3,49,990","1,99,990",42,2689
552,Sansui,Ultra HD,65,QLED,WebOS,"1,32,600",89999,32,1055
553,TOSHIBA,Full HD,55,LED,,46990,20990,55,5465
554,TCL,Ultra HD,43,QLED,Google,59999,31339,47,5948
555,Samsung,Ultra HD,55,QLED,Google,86318,56890,34,3
556,Samsung,Ultra HD,50,QLED,Tizen,51400,34990,31,13
557,Reliance,Ultra HD,43,QLED,Tizen,"1,49,990",92199,38,3
558,TOSHIBA,Ultra HD,55,LED,Google,56199,26699,52,7202
559,SONY,Ultra HD,50,LED,Google,"1,39,900",73990,47,56
560,Samsung,Ultra HD,65,LED,Google,42399,19799,53,4
561,LG,Ultra HD,43,LED,Tizen,"3,17,900","2,55,699",19,50
562,realme,Ultra HD,55,LED,WebOS,"1,43,700","1,02,099",28,373
563,SONY,Ultra HD,49,QLED,Google,25999,14599,43,26583
564,realme,Ultra HD,32,LED,Google,19990,15790,21,2552
565,Samsung,Ultra HD,32,QLED,Google,10499,5499,47,6
566,Samsung,Ultra HD,24,QLED,Tizen,70800,41300,41,6
567,BPL,Ultra HD,50,LED,Tizen,"4,29,990","1,29,990",69,5
568,Haier,Ultra HD,75,QLED,WebOS,"2,34,900","1,62,313",30,15
569,KODAK,HD Ready,65,LED,,80000,50899,36,10230
570,Samsung,HD Ready,65,LED,,17143,15119,11,5
571,TCL,Ultra HD,32,QLED,Tizen,20000,11999,40,14
572,Samsung,Ultra HD,32,QLED,Google,44999,32250,28,3
573,Vu,Ultra HD,50,LED,Tizen,46999,26699,43,3300
574,Samsung,Ultra HD,55,LED,,99990,40765,59,7248
575,MOTOROLA,HD Ready,65,LED,,"3,64,900",93203,74,995
576,XIAOMI,HD Ready,65,LED,,"1,09,990",37999,65,83331
577,Blaupunkt,Ultra HD,55,LED,,59999,26699,55,7882
578,acerpure,Ultra HD,50,LED,Google,79990,55515,30,3939
579,SONY,Ultra HD,43,LED,Google,"2,09,990","1,09,990",47,38
580,TCL,Ultra HD,65,LED,,89990,64990,27,1104
581,Acer,Ultra HD,50,LED,,"1,34,900",95589,29,2524
582,Samsung,Ultra HD,55,QLED,Google,47990,39462,17,35
583,Samsung,Ultra HD,43,QLED,Tizen,84990,48900,42,35
584,Samsung,Ultra HD,55,QLED,Tizen,79999,45999,42,3
585,Samsung,Ultra HD,65,QLED,Tizen,"2,49,900","1,64,990",33,235
586,LG,Ultra HD,55,QLED,Tizen,45999,29999,34,4695
587,LG,Ultra HD,55,LED,WebOS,"5,99,990","2,29,990",61,3171
588,Coocaa,Ultra HD,85,LED,WebOS,24999,10999,56,14
589,SONY,Ultra HD,32,LED,Google,16999,9499,44,10
590,Blaupunkt,Ultra HD,32,OLED,Google,"1,39,990","1,27,990",8,13640
591,TCL,Ultra HD,55,QLED,Google,73600,58999,19,23
592,Acer,Ultra HD,43,LED,Google,"1,10,500",89899,18,162
593,Infinix,HD Ready,55,QLED,Google,58999,32499,44,239
594,LG,HD Ready,50,QLED,WebOS,24990,13499,45,804
595,Samsung,Ultra HD,32,OLED,WebOS,"1,10,500",89899,18,16
596,Samsung,Ultra HD,55,QLED,Tizen,58999,32499,44,39
597,Lumio,Ultra HD,50,QLED,Tizen,24990,13499,45,4
598,TOSHIBA,Ultra HD,32,QLED,Google,70900,47845,32,9183
599,Samsung,HD Ready,55,LED,,41999,34950,16,39
600,Lumio,Ultra HD,50,QLED,Tizen,"2,29,900",64999,71,4
601,TOSHIBA,Ultra HD,65,QLED,Google,29999,21299,29,9183
602,Samsung,HD Ready,40,LED,,"1,49,200","1,24,817",16,13
603,XIAOMI,Ultra HD,55,LED,Tizen,57000,35280,38,83331
604,LG,Ultra HD,55,LED,,22999,11999,47,19
605,XIAOMI,Ultra HD,32,LED,WebOS,25490,16349,35,38555
606,Samsung,Full HD,32,LED,,"2,39,990","1,42,990",40,5
607,BPL,Ultra HD,75,QLED,Tizen,82990,57990,30,6
608,Acer,Ultra HD,32,LED,Google,18592,16499,11,12913
609,Lloyd,HD Ready,43,LED,Google,64999,12606,80,5
610,LG,HD Ready,32,LED,,15999,7999,50,23
611,Blaupunkt,Ultra HD,32,,WebOS,41999,25499,39,5550
612,SONY,HD Ready,58,LED,,70990,39990,43,352
613,Samsung,Ultra HD,32,LED,Google,"2,24,900","1,44,512",35,90
614,Samsung,HD Ready,50,LED,Tizen,60999,25299,58,188
615,Compaq,HD Ready,55,LED,Tizen,"2,58,000",74999,70,4479
616,KODAK,Ultra HD,65,LED,,"1,64,999",69999,57,17014
617,Blaupunkt,HD Ready,55,LED,,49990,22999,53,13640
618,VZY,Ultra HD,65,QLED,Google,18999,12998,31,5
619,SONY,Ultra HD,65,QLED,Google,18999,11900,37,7
620,Kenstar,Ultra HD,43,LED,,27000,13999,48,232
621,Samsung,Ultra HD,32,LED,Tizen,34990,21849,37,2
622,Acer,Ultra HD,32,QLED,Tizen,"1,49,999",64499,57,16
623,LG,Ultra HD,32,LED,Google,11499,6499,43,35739
624,iMEE,Ultra HD,43,LED,WebOS,99990,64990,35,28
625,iMEE,HD Ready,75,LED,,17990,11501,36,28
626,BPL,HD Ready,24,LED,,21990,8999,59,28
627,ONIDA,HD Ready,65,LED,,22490,12979,42,1159
628,Blaupunkt,Ultra HD,32,LED,Google,20000,12290,38,13640
629,KODAK,Ultra HD,32,QLED,Google,17999,12699,29,828
630,Samsung,HD Ready,32,QLED,,31990,24020,24,24665
631,INVANTER,4K,32,LED,Tizen,"1,19,999",59999,50,10
632,LIMEBERRY,HD Ready,32,LED,,94990,60751,36,3
633,Lloyd,HD Ready,43,LED,,89999,44999,50,30
634,BPL,HD Ready,65,LED,,48990,32150,34,6
635,Infinix,HD Ready,65,LED,,32999,27433,16,8234
636,Panasonic,HD Ready,55,LED,,49999,25499,49,5
637,Hisense,Full HD,50,LED,,78990,61810,21,295
638,Panasonic,Ultra HD,43,LED,,27299,15000,45,15
639,Hisense,Ultra HD,43,LED,Google,"2,16,500","1,59,099",26,295
640,Panasonic,Ultra HD,70,LED,,54000,31076,42,671
641,Acer,Ultra HD,43,LED,,41999,22099,47,6545
642,Hisense,Full HD,65,LED,Google,"2,99,990","1,44,990",51,3191
643,Acer,Ultra HD,43,QLED,Google,40990,26990,34,15
644,Admiral,Ultra HD,50,LED,,"1,09,990",56990,48,925
645,Samsung,Full HD,75,LED,Google,"1,34,990",75990,43,7
646,LG,Ultra HD,43,LED,Tizen,79999,52499,34,5
647,Thomson,Ultra HD,55,LED,WebOS,"2,19,990","2,19,490",29,40741
648,SONY,Ultra HD,65,LED,Google,23382,16462,18,352
649,LG,Ultra HD,50,LED,Google,99999,81155,6,8081
650,LG,Full HD,55,LED,WebOS,18117,16987,72,1049
651,LG,Ultra HD,32,LED,WebOS,"1,12,990",31500,30,1049
652,SONY,Ultra HD,75,LED,WebOS,19999,13999,63,96
653,LG,Ultra HD,32,LED,Google,"2,99,990","1,08,990",57,7
654,Samsung,Ultra HD,50,OLED,WebOS,19990,8447,53,127
655,TOSHIBA,HD Ready,32,LED,Tizen,37999,17565,45,2077
656,Samsung,Ultra HD,75,QLED,,54990,29799,35,154
657,TCL,HD Ready,32,LED,,"1,59,990","1,02,599",33,5948
658,iMEE,Ultra HD,43,QLED,Google,51000,50851,31,9
659,TCL,HD Ready,50,LED,,56900,37990,39,926
660,LEEMA,Ultra HD,65,LED,Google,"3,39,990","2,33,899",58,63
661,LIMEBERRY,HD Ready,49,LED,,20490,12490,37,3
662,TOSHIBA,Full HD,43,LED,Google,61990,25699,71,2303
663,LG,Ultra HD,65,LED,Google,19990,12490,23,426
664,Vu,Ultra HD,32,,WebOS,"1,40,580",39599,42,386
665,Samsung,Ultra HD,43,LED,,"1,19,990",92199,24,56
666,LG,Ultra HD,32,LED,,"1,49,990",86990,60,4
667,TCL,Ultra HD,65,OLED,WebOS,48999,37199,33,4
668,TCL,Full HD,75,QLED,,61990,24700,29,3132
669,Sansui,Ultra HD,75,QLED,Google,84990,56890,42,127
670,MOTOROLA,HD Ready,50,LED,Google,64400,45199,36,4759
671,Hisense,Ultra HD,43,QLED,Google,31999,18499,30,8411
672,Hisense,Ultra HD,50,LED,Google,"1,49,999",94999,73,3191
673,MOTOROLA,Ultra HD,55,QLED,Google,96900,67288,55,1541
674,TCL,Ultra HD,43,LED,,69990,18799,52,11812
675,SONY,Ultra HD,75,QLED,Google,"1,34,900",60250,57,6
676,Samsung,Ultra HD,70,LED,,"3,14,999","1,49,999",24,2549
677,Hisense,Ultra HD,43,LED,Tizen,"2,15,990",91990,43,1369
678,Blaupunkt,Full HD,49,QLED,Google,"2,49,900","1,87,592",50,41
679,Sansui,Ultra HD,55,LED,Google,22490,12730,63,2864
680,Coocaa,Ultra HD,85,LED,Google,29999,14989,35,718
681,SONY,Ultra HD,65,QLED,Google,78999,28999,58,234
682,Samsung,Full HD,65,LED,,"1,19,999",77999,34,11
683,Hisense,Ultra HD,32,QLED,Tizen,"1,77,990",74199,55,178
684,TCL,Ultra HD,32,LED,,"3,99,990","2,63,990",67,135
685,Samsung,Ultra HD,55,LED,Google,77000,34090,45,8
686,Sansui,Ultra HD,65,QLED,Tizen,"2,53,400",81999,40,3
687,VZY,HD Ready,55,QLED,Google,79990,43990,51,4
688,Acer,Full HD,86,LED,Google,62990,37341,30,2524
689,Acer,Ultra HD,55,QLED,Google,41666,20090,43,2841
690,LG,Ultra HD,55,QLED,Google,64990,44990,36,69
691,LG,Ultra HD,65,LED,WebOS,"2,11,900","1,19,990",53,23
692,Acer,Ultra HD,55,,WebOS,"1,88,900","1,20,528",36,2841
693,Samsung,Ultra HD,43,QLED,Google,"1,20,990",56250,57,2
694,Sansui,Ultra HD,43,QLED,Tizen,"1,49,999",94999,16,19
695,Panasonic,Ultra HD,55,LED,Google,99999,42399,39,671
696,BPL,Ultra HD,55,LED,Google,58900,49380,44,33
697,SONY,Full HD,55,LED,,59990,36490,44,2
698,Samsung,Full HD,75,LED,Google,"1,24,990",69990,43,170
699,Samsung,Ultra HD,65,QLED,Tizen,"3,08,990","1,69,990",35,5
700,Haier,Ultra HD,43,OLED,Tizen,43999,24999,39,31
701,Thomson,Ultra HD,43,QLED,Google,69999,44999,27,83
702,Coocaa,Ultra HD,65,LED,Google,79999,48499,63,879
703,LG,Ultra HD,65,LED,Google,93900,67699,44,199
704,LG,Full HD,50,LED,WebOS,"3,79,990","1,37,990",49,3171
705,LG,Ultra HD,65,LED,WebOS,"1,14,999",63999,54,3171
706,Haier,Ultra HD,65,LED,WebOS,"1,78,990",90990,31,4
707,Compaq,Ultra HD,55,OLED,Google,70990,32600,72,4479
708,Blaupunkt,Ultra HD,75,LED,,64990,44701,41,48
709,Acer,Ultra HD,75,QLED,Google,37999,10499,43,2557
710,Samsung,Ultra HD,65,LED,Google,49699,28999,43,9
711,TCL,Ultra HD,55,QLED,Tizen,58999,33099,35,135
712,TOSHIBA,Ultra HD,50,LED,Google,58999,33099,60,7202
713,LG,Ultra HD,32,LED,Google,"3,56,990","2,31,499",36,426
714,iFFALCON,Ultra HD,50,,WebOS,29990,11990,39,31936
715,Samsung,Ultra HD,50,LED,,"1,28,900",81300,53,5
716,LIMEBERRY,Ultra HD,50,LED,Tizen,59900,36165,58,3
717,MOTOROLA,Full HD,65,LED,Google,14990,6959,29,433
718,TOSHIBA,Ultra HD,32,QLED,Google,69990,29299,25,2077
719,TOSHIBA,Ultra HD,65,QLED,,32290,22872,33,2077
720,LG,Ultra HD,43,QLED,,84900,63150,29,1
721,Reliance,Ultra HD,24,LED,WebOS,38990,25949,37,22
722,SONY,HD Ready,55,LED,WebOS,78900,55861,46,326
723,SONY,Ultra HD,43,LED,Google,35999,22499,13,6
724,Reliance,Ultra HD,43,LED,Google,"4,99,990","2,68,889",60,1223
725,acerpure,HD Ready,43,LED,,16000,13835,39,3939
726,ONIDA,Ultra HD,55,LED,Google,23999,9499,41,1038
727,Panasonic,Ultra HD,50,LED,Google,91900,55990,61,201
728,Sansui,Ultra HD,100,LED,,"1,44,900",85118,24,2864
729,Samsung,Ultra HD,24,LED,,"4,39,990","1,69,990",49,4
730,Blaupunkt,Ultra HD,32,LED,Tizen,49990,37827,27,280
731,Hisense,Ultra HD,43,QLED,,"1,89,900",95201,47,178
732,LG,Ultra HD,55,LED,,54900,39998,62,30
733,realme,Full HD,75,LED,,"1,14,990",59999,36,11340
734,Samsung,HD Ready,43,QLED,Google,63999,23999,46,1884
735,Samsung,Ultra HD,55,QLED,Tizen,42390,27002,28,1884
736,TCL,Ultra HD,43,QLED,Tizen,69999,37799,10,24
737,LG,Ultra HD,75,LED,Google,30490,21799,68,21
738,Samsung,Ultra HD,50,LED,WebOS,28240,25191,50,5
739,Samsung,Ultra HD,43,QLED,Tizen,"1,09,900",34999,56,3
740,TOSHIBA,Ultra HD,55,LED,Tizen,79990,39599,59,7202
741,Acer,Ultra HD,32,LED,Google,"1,43,990",61990,35,1080
742,ONIDA,Ultra HD,32,LED,Google,60990,24990,32,20
743,TOSHIBA,Ultra HD,55,QLED,Google,"4,59,900","2,94,884",37,5465
744,LG,Ultra HD,65,QLED,,"2,49,990","1,69,990",42,61
745,LG,Full HD,43,LED,WebOS,42990,27050,36,909
746,Metz,HD Ready,65,LED,WebOS,42615,24490,35,4
747,Coocaa,Ultra HD,43,LED,Google,64990,40990,46,879
748,Samsung,Ultra HD,65,LED,Google,"1,09,990",70993,45,36
749,TCL,Ultra HD,65,LED,Tizen,"2,69,900","1,44,990",21,1597
750,TCL,Ultra HD,43,LED,Google,"1,93,990","1,04,990",42,11812
751,SONY,Ultra HD,43,QLED,Google,35449,27990,50,5
752,Samsung,Ultra HD,43,OLED,Google,"2,22,900","1,28,990",42,5
753,Panasonic,Ultra HD,55,QLED,Tizen,64999,31999,44,671
754,Lloyd,Ultra HD,75,LED,Google,44999,25990,35,7
755,SONY,Full HD,55,LED,WebOS,69900,38699,30,1
756,LG,Full HD,32,LED,,"2,29,900","1,47,890",56,426
757,SONY,Ultra HD,65,,WebOS,42999,29990,42,2
758,LG,Ultra HD,55,LED,,"2,29,990","1,00,200",29,804
759,SONY,Ultra HD,43,OLED,WebOS,"2,68,990","1,55,990",26,12
760,Samsung,HD Ready,43,LED,Google,69900,49490,40,1884
761,Hisense,Ultra HD,65,QLED,Tizen,49990,36990,43,8411
762,Hisense,Ultra HD,50,LED,Google,"3,67,900","2,17,360",16,8411
763,SONY,Ultra HD,55,LED,Google,35999,20300,52,26583
764,SONY,4K,65,LED,Google,28000,23247,73,3
765,realme,Ultra HD,50,LED,Google,79199,37799,31,39624
766,LG,Ultra HD,43,LED,,"99,99,990","26,99,990",38,13
767,LG,Ultra HD,55,OLED,WebOS,45900,31620,27,804
768,Samsung,Ultra HD,43,OLED,WebOS,61600,37823,7,8
769,Samsung,Ultra HD,32,LED,Tizen,54900,39990,56,18
770,SONY,Ultra HD,65,LED,Tizen,23240,21463,69,5
771,XIAOMI,Ultra HD,115,OLED,Google,"2,30,989",99999,23,"1,09,473"
772,LG,Full HD,43,LED,Google,"2,51,990",76990,39,79
773,realme,HD Ready,55,LED,WebOS,21735,16700,35,695
774,TCL,Ultra HD,43,QLED,Google,"1,14,990",69990,32,22
775,Samsung,Ultra HD,32,LED,Google,77900,49899,49,9
776,Samsung,Ultra HD,55,LED,Tizen,30490,20559,73,22
777,Samsung,Ultra HD,75,LED,Tizen,10499,5299,30,71
778,LG,Ultra HD,32,LED,Tizen,29990,7990,45,61
779,LG,Full HD,65,LED,WebOS,58992,41294,15,2437
780,TCL,Ultra HD,50,OLED,WebOS,"1,78,990",96990,38,147
781,LG,Ultra HD,32,QLED,Google,"2,62,600","2,22,699",37,18302
782,LG,Full HD,24,LED,WebOS,59990,36990,43,13
783,Samsung,Ultra HD,32,LED,WebOS,"1,39,990",87990,57,18
784,LG,Ultra HD,43,QLED,Tizen,"3,19,990","1,79,990",45,31583
785,Thomson,Full HD,65,LED,,"2,09,990",89999,57,12003
786,InnoQ,HD Ready,55,LED,,99990,54990,30,7
787,LG,HD Ready,43,LED,,"1,29,990",54990,40,23
788,LG,Ultra HD,42,LED,WebOS,63500,43935,45,19
789,Samsung,Ultra HD,65,,WebOS,65990,39490,37,18302
790,LG,Ultra HD,65,LED,Tizen,72490,39330,36,7
791,LG,Ultra HD,49,LED,WebOS,9999,6299,41,4
792,LG,Ultra HD,55,OLED,WebOS,57990,36990,36,4
793,LG,Ultra HD,43,OLED,WebOS,"1,19,990",69990,28,32
794,LG,Ultra HD,50,LED,WebOS,"1,01,300",64499,36,47
795,LG,Ultra HD,55,LED,WebOS,72900,51990,69,6
796,Samsung,Ultra HD,24,LED,WebOS,99990,63990,63,4
797,Haier,Ultra HD,43,QLED,Tizen,22999,6999,45,7
798,Haier,Ultra HD,65,LED,Google,37999,13999,52,13351
799,KODAK,Ultra HD,65,LED,Google,94990,52095,52,16
800,LG,HD Ready,55,LED,,16990,8003,14,18302
801,LG,Ultra HD,55,LED,WebOS,44000,20999,12,70277
802,Samsung,Ultra HD,32,LED,WebOS,"1,25,800","1,07,799",24,70277
803,Samsung,4K,40,LED,Tizen,16999,14947,43,704
804,Samsung,4K,32,LED,Tizen,72990,54999,45,61
805,ZEBRONICS,Ultra HD,55,QLED,Tizen,"2,54,990","1,44,990",12,12913
806,Acer,HD Ready,32,LED,,"3,99,990","2,19,990",53,150
807,KODAK,Full HD,49,LED,Google,79990,70200,38,12
808,LG,HD Ready,49,LED,,"2,19,990","1,02,060",63,63
809,RGL,Ultra HD,32,LED,WebOS,59990,36990,42,3194
810,Blaupunkt,HD Ready,50,LED,,"1,09,900",39999,21,16
811,Samsung,Full HD,55,LED,,"1,29,990",74990,2,90
812,Compaq,Ultra HD,65,LED,Tizen,76900,59999,56,17
813,LG,HD Ready,43,LED,,49990,48990,32,2
814,LG,Ultra HD,55,LED,WebOS,24999,10999,38,1
815,LG,Ultra HD,65,OLED,WebOS,57000,38490,34,4
816,LG,Ultra HD,49,OLED,WebOS,66290,40590,40,3
817,LG,Ultra HD,49,LED,WebOS,46090,29990,40,26
818,LG,Ultra HD,32,LED,WebOS,"1,05,990",62990,35,4
819,Metz,Ultra HD,55,LED,WebOS,44999,26999,59,3171
820,LG,Ultra HD,55,QLED,Google,19990,12990,54,299
821,SONY,Ultra HD,43,LED,WebOS,41999,17099,53,43
822,Weston,Ultra HD,65,LED,,15999,7299,58,"1,09,473"
823,XIAOMI,Full HD,50,LED,,59999,27999,33,70277
824,Samsung,HD Ready,32,LED,,49699,20499,43,35739
825,LG,4K,43,LED,Tizen,85600,56990,54,35739
826,LG,Ultra HD,32,LED,WebOS,54990,30830,44,35739
827,LG,Ultra HD,50,LED,WebOS,15999,7299,52,83331
828,XIAOMI,Ultra HD,43,LED,WebOS,"1,79,600",99990,48,464
